2002bf,?,?,SUSPEND,0.024197,NEDfromhost,?,?,?,?,?,?,?,?,0.049,?,NED,?,?,?,?,-0.389,0.189,0.228,0.025,HickenPhD2009
2002bo,1.2599791,LifanWang,LifanWang & 2004MNRAS.348..261B,0.00547,LifanWang2006,13.93,0.10,XWang2006,13.591,0.016,LifanWang2006,0.0071138064,SA(s)a,0.108,0.025,NED,0.51,0.06,XWang2009,0.000087,-0.471,0.038,0.339,0.018,Arsenijevic2011
2002ck,1.120,Blondin2010(from x1),Blondin2010,0.0302,Blondin2010,16.303,0.048,Blondin2010,?,?,?,0.024,?,?,?,?,?,?,?,?,-0.183,0.147,-0.017,0.023,Blondin2010
2002cx,1.1450108,LifanWang,Li(2003) & LifanWang,0.02500,NEDhost,17.56,0.10,XWang2006,17.45,0.10,Weidong2003,0.016150480,Sa,0.138,0.032,NED,0.19,0.07,XWang2006,0.000113,0.351,0.136,0.308,0.031,Arsenijevic2011
2002dj,1.08,Pignata2008,SUSPECT,0.009393,NEDhost,14.30,0.04,Pignata2008,?,?,?,0.05,?,0.412,0.096,NED,0.18,0.05,XWang2009,0.000073,-0.114,0.146,0.170,0.012,HickenPhD2009
2002el,1.4234772,LifanWang,LifanWang,0.02238,LifanWang2006,16.11,0.07,XWang2006,16.179,0.020,LifanWang2006,0.017568172,?,0.367,0.085,NED,0.07,0.04,XWang2009,0.000163,?,?,?,?,?
2002er,1.3006717,LifanWang,LifanWang & 2005A&A...436.1021K,0.00855,LifanWang2006,14.21,0.07,XWang2006,14.108,0.012,LifanWang2006,0.0094912440,Sa,0.680,0.157,NED,0.23,0.04,XWang2009,0.000023,-0.764,0.057,0.100,0.024,Arsenijevic2011
2002fk,?,?,LifanWang,0.007125,NEDfromhost,?,?,?,?,?,?,?,?,0.172,?,NED,?,?,?,?,?,?,?,?,?
2002hd,1.217,Blondin2010(from x1),Blondin2010,0.0360,Blondin2010,16.738,0.038,Blondin2010,?,?,?,0.076,?,?,?,?,?,?,?,?,-0.748,0.456,0.100,0.022,Blondin2010
2002hu,1.04,2009ApJ...700..331H,Blondin2010,0.0359,Blondin2010,16.587,0.012,Blondin2010,?,?,?,0.07,?,?,?,?,?,?,?,?,0.052,0.143,-0.052,0.012,Blondin2010
2002ic,?,?,LifanWang,0.066000,NEDfromhost,?,?,?,?,?,?,?,?,0.257,?,NED,?,?,?,?,?,?,?,?,?
2002iu,?,?,Matheson2005,0.109130,NEDfromhost,?,?,?,?,?,?,?,?,0.169,?,NED,?,?,?,?,?,?,?,?,?
2002iv,?,?,Matheson2005,0.231000,NEDfromhost,?,?,?,?,?,?,?,?,0.101,?,NED,?,?,?,?,?,?,?,?,?
2002iy,0.93,Blondin2006,Matheson2005,0.587,Blondin2006,?,?,?,?,?,?,0.10,?,0.141,?,NED,?,?,?,?,?,?,?,?,?
2002iz,1.17,Blondin2006,Matheson2005,0.428,Blondin2006,?,?,?,?,?,?,0.05,?,0.140,?,NED,?,?,?,?,?,?,?,?,?
2002ja,0.94,Blondin2006,Matheson2005,0.33,Blondin2006,?,?,?,?,?,?,0.09,?,0.129,?,NED,?,?,?,?,?,?,?,?,?
2002jb,1.10,Blondin2006,Matheson2005,0.25,Blondin2006,?,?,?,?,?,?,0.03,?,0.144,?,NED,?,?,?,?,?,?,?,?,?
2002jc,1.47,Blondin2006,Matheson2005,0.52,Blondin2006,?,?,?,?,?,?,0.04,?,0.105,?,NED,?,?,?,?,?,?,?,?,?
